linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
254_0001,Вершы,epub,/Ales_Razanau/Hlina_Kamien_Zaleza.epub,,,Гліна. Камень. Жалеза,/Ales_Razanau/Hlina_Kamien_Zaleza.html
254_0002,Вершы,epub,/Ales_Razanau/Punkciry.epub,,,Пункціры,/Ales_Razanau/Punkciry.html
254_0003,Вершы,epub,/Ales_Razanau/U_parku.epub,,,«У парку...»,/Ales_Razanau/U_parku.html
254_0004,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Adliha.mp3,,,Адліга,/Ales_Razanau/Adliha_audio.html
254_0005,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Vandrouny_horad.mp3,,,Вандроўны горад,/Ales_Razanau/Vandrouny_horad_audio.html
254_0006,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Vosien.mp3,,,Восень,/Ales_Razanau/Vosien_audio.html
254_0007,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Holas.mp3,,,Голас,/Ales_Razanau/Holas_audio.html
254_0008,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Horad.mp3,,,Горад,/Ales_Razanau/Horad_audio.html
254_0009,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Daroznyja_znaki.mp3,,,Дарожныя знакі,/Ales_Razanau/Daroznyja_znaki_audio.html
254_0010,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Malanka.mp3,,,Маланка,/Ales_Razanau/Malanka_audio.html
254_0011,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Palot.mp3,,,Палёт,/Ales_Razanau/Palot_audio.html
254_0012,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Paroh.mp3,,,Парог,/Ales_Razanau/Paroh_audio.html
254_0013,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Radzima.mp3,,,Радзіма,/Ales_Razanau/Radzima_audio.html
254_0014,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Stary_horad.mp3,,,Стары горад,/Ales_Razanau/Stary_horad_audio.html
254_0015,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Schovy.mp3,,,Сховы,/Ales_Razanau/Schovy_audio.html
254_0016,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Uzvyssa.mp3,,,Узвышша,/Ales_Razanau/Uzvyssa_audio.html
254_0017,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Seran.mp3,,,Шэрань,/Ales_Razanau/Seran_audio.html
254_0018,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Yany.mp3,,,Яны,/Ales_Razanau/Jany_audio.html
254_0019,Аўдыё,djvu,https://files.knihi.com/Knihi/scanned/Razanau.Strala.djvu,,,"Вастрыё стралы : версэты, паэтычныя мініяцюры","/Ales_Razanau/Vastryjo_straly_viersety,_paetycnyja_minijaciury.html"
254_0020,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Aryst_Kastusia_Kalinouskaha.mp3,,,Арышт Кастуся Каліноўскага,/Ales_Razanau/Aryst_Kastusia_Kalinouskaha_authoraudio.html
254_0021,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Biazmiezza.mp3,,,Бязмежжа,/Ales_Razanau/Biazmiezza_authoraudio.html
254_0022,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Vosien.mp3,,,Восень,/Ales_Razanau/Vosien_authoraudio.html
254_0023,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Holas.mp3,,,Голас,/Ales_Razanau/Holas_authoraudio.html
254_0024,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Drevy.mp3,,,Дрэвы,/Ales_Razanau/Drevy_authoraudio.html
254_0025,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Zapaviet.mp3,,,Запавет,/Ales_Razanau/Zapaviet_authoraudio.html
254_0026,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Malanka.mp3,,,Маланка,/Ales_Razanau/Malanka_authoraudio.html
254_0027,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Mova.mp3,,,Мова,/Ales_Razanau/Mova_authoraudio.html
254_0028,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Na_hetaj_ziamli.mp3,,,На гэтай зямлі,/Ales_Razanau/Na_hetaj_ziamli_authoraudio.html
254_0029,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Padarunak_chrosnaj_maci.mp3,,,Падарунак хроснай маці,/Ales_Razanau/Padarunak_chrosnaj_maci_authoraudio.html
254_0030,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Palot.mp3,,,Палёт,/Ales_Razanau/Palot_authoraudio.html
254_0031,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Papiaredzannie.mp3,,,Папярэджанне,/Ales_Razanau/Papiaredzannie_authoraudio.html
254_0032,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Posuk.mp3,,,Пошук,/Ales_Razanau/Posuk_authoraudio.html
254_0033,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Radzima.mp3,,,Радзіма,/Ales_Razanau/Radzima_authoraudio.html
254_0034,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Razanau_Ales.Nazauzdy.djvu,,,Назаўжды,/Ales_Razanau/Nazauzdy.html
254_0035,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Razanau_Ales.Slach-360.djvu,,,Шлях-360,/Ales_Razanau/Slach-360.html
254_0036,Вершы,epub,/Ales_Razanau/Doroha_domoj-rus.epub,,,Дорога домой,/Ales_Razanau/Doroha_domoj-rus.html
254_0037,Пераклады,epub,/Basio/Choku.epub,Басё,/Basio/,Хоку,/Basio/Choku.html
254_0038,Пераклады,epub,/Francysk_Skaryna/Z_pradmovy_da_Knihi_Iova.epub,Францыск Скарына,/Francysk_Skaryna/,З прадмовы да «Кнігі Іова»,/Francysk_Skaryna/Z_pradmovy_da_Knihi_Iova.html
254_0039,Пераклады,epub,/Francysk_Skaryna/Z_pradmovy_da_Knihi_Judzif.epub,Францыск Скарына,/Francysk_Skaryna/,З прадмовы да «Кнігі Юдзіф»,/Francysk_Skaryna/Z_pradmovy_da_Knihi_Judzif.html
